"","region1","region2","region","cases","week","year","x","y","SIG_CD"
"169","강원","고성군","강원-고성군",0,6,2024,128.4111555,38.36275363,42820
"170","강원","고성군","강원-고성군",0,7,2024,128.4111555,38.36275363,42820
"171","강원","고성군","강원-고성군",0,8,2024,128.4111555,38.36275363,42820
"172","강원","고성군","강원-고성군",0,9,2024,128.4111555,38.36275363,42820
"173","강원","고성군","강원-고성군",0,10,2024,128.4111555,38.36275363,42820
"174","강원","고성군","강원-고성군",0,11,2024,128.4111555,38.36275363,42820
"175","강원","고성군","강원-고성군",0,25,2024,128.4111555,38.36275363,42820
"176","강원","고성군","강원-고성군",1,26,2024,128.4111555,38.36275363,42820
"177","강원","고성군","강원-고성군",0,27,2024,128.4111555,38.36275363,42820
"178","강원","고성군","강원-고성군",1,28,2024,128.4111555,38.36275363,42820
"179","강원","고성군","강원-고성군",0,29,2024,128.4111555,38.36275363,42820
"180","강원","고성군","강원-고성군",0,30,2024,128.4111555,38.36275363,42820
"181","강원","고성군","강원-고성군",0,31,2024,128.4111555,38.36275363,42820
"182","강원","고성군","강원-고성군",0,32,2024,128.4111555,38.36275363,42820
"183","강원","고성군","강원-고성군",0,20,2024,128.4111555,38.36275363,42820
"184","강원","고성군","강원-고성군",0,21,2024,128.4111555,38.36275363,42820
"185","강원","고성군","강원-고성군",0,22,2024,128.4111555,38.36275363,42820
"186","강원","고성군","강원-고성군",0,23,2024,128.4111555,38.36275363,42820
"187","강원","고성군","강원-고성군",0,24,2024,128.4111555,38.36275363,42820
"188","강원","고성군","강원-고성군",0,38,2024,128.4111555,38.36275363,42820
"189","강원","고성군","강원-고성군",0,39,2024,128.4111555,38.36275363,42820
"190","강원","고성군","강원-고성군",0,35,2024,128.4111555,38.36275363,42820
"191","강원","고성군","강원-고성군",0,36,2024,128.4111555,38.36275363,42820
"192","강원","고성군","강원-고성군",0,33,2024,128.4111555,38.36275363,42820
"193","강원","고성군","강원-고성군",0,34,2024,128.4111555,38.36275363,42820
"194","강원","고성군","강원-고성군",0,37,2024,128.4111555,38.36275363,42820
"195","강원","동해시","강원-동해시",0,16,2025,129.0555688,37.5066814,42170
"196","강원","동해시","강원-동해시",0,17,2025,129.0555688,37.5066814,42170
"197","강원","동해시","강원-동해시",0,19,2025,129.0555688,37.5066814,42170
"198","강원","동해시","강원-동해시",0,20,2025,129.0555688,37.5066814,42170
"199","강원","동해시","강원-동해시",0,21,2025,129.0555688,37.5066814,42170
"200","강원","동해시","강원-동해시",0,18,2025,129.0555688,37.5066814,42170
"201","강원","동해시","강원-동해시",0,14,2025,129.0555688,37.5066814,42170
"202","강원","동해시","강원-동해시",0,15,2025,129.0555688,37.5066814,42170
