"","region","R0","I0","rho"
"116","부산-해운대구",16.6952477035061,6.7945183991861e-05,0.00810675426981285
"117","서울-강동구",16.2114922647738,5.49124688470947e-05,0.00396814115068981
"118","서울-강북구",17.290885078576,7.1194301134054e-05,0.00449032977379729
"119","서울-관악구",16.6472441709611,4.29522332860909e-05,0.00216490535096961
"120","서울-광진구",14.9800710119161,0.000263094122512418,0.00279794635990399
"121","서울-구로구",15.511833935089,0.00023046511863794,0.00893569140653761
"122","서울-금천구",18.0831280789471,7.98457101229326e-05,0.00334349751709349
"123","서울-도봉구",15.5939183626189,0.000243435250263806,0.00504090690808367
"124","서울-동대문구",18.0088178730155,6.66862523017005e-05,0.00477208312662035
"125","서울-동작구",17.3064500906889,3.79474012804396e-05,0.00278749796664318
"126","서울-마포구",16.8799898374221,8.16485114003366e-05,0.00431882671011606
"127","서울-서대문구",16.5200016214618,8.42737473608174e-05,0.0038964435919239
"128","서울-성동구",17.398699702956,4.79616713294662e-05,0.00401380174620349
"129","서울-성북구",17.1645689991852,7.65510549607645e-05,0.0030471032005226
"130","서울-영등포구",16.6983812835057,4.69547264007571e-05,0.0038259117751877
"131","서울-용산구",17.4960065277582,2.96832307486804e-05,0.00341715440800172
"132","서울-은평구",17.2248606302121,8.73364892786322e-05,0.00623379338492489
"133","서울-종로구",18.3694766571155,9.44583351539907e-05,0.00169897921094091
"134","서울-중구",16.2026705007088,3.93569519650644e-05,0.00224490723957686
"135","서울-중랑구",20.4747911453535,8.05521937195274e-05,0.00794957679365662
"136","울산-남구",16.5690791725424,7.51547026950642e-06,0.00719791702184703
"137","울산-동구",17.9998804624988,1.27706484580557e-05,0.00403514778789362
"138","울산-북구",14.7781462062061,4.49230573715682e-05,0.00510826772322421
"139","울산-울주군",16.8634600371338,2.33714799699084e-05,0.00876833306559157
"140","울산-중구",15.1806668534578,3.17544576055279e-05,0.00348228850905842
"141","인천-강화군",19.2378182207028,7.0553096759235e-05,0.00953934992721041
"142","인천-계양구",13.5842572901615,0.000441305524121918,0.0137762486694143
